,num,co_value,delta
0,10,-14.14316150316312,
1,20,-13.569623990416934,0.573537512746185
2,30,-13.632776238738497,-0.06315224832156296
3,40,-14.977840817100699,-1.3450645783622015
4,50,-14.152314230029194,0.8255265870715043
