,num,co_value,delta
0,10,-11.344460081776226,
1,20,-12.015128923483168,-0.6706688417069415
2,30,-12.494799862137373,-0.4796709386542055
3,40,-13.208382530028612,-0.713582667891238
4,50,-13.29705122524965,-0.08866869522103826
