,num,co_value,delta
0,10,-12.84897426194901,
1,20,-16.1339053437638,-3.28493108181479
2,30,-14.0178084162006,2.1160969275632002
3,40,-14.617879347594373,-0.6000709313937733
4,50,-15.449620381882964,-0.8317410342885907
