,num,co_value,delta
0,10,-11.968190467159744,
1,20,-14.464431846993147,-2.4962413798334033
2,30,-13.381482197573748,1.0829496494193993
3,40,-13.330562045132648,0.050920152441099376
4,50,-14.024750059696157,-0.6941880145635082
