,num,co_value,delta
0,10,-15.342263036705285,
1,20,-14.7828171192152,0.5594459174900859
2,30,-14.871440069428976,-0.08862295021377697
3,40,-14.746263125829007,0.12517694359996945
4,50,-15.075444869042494,-0.32918174321348737
