,num,co_value,delta
0,10,-15.904048676222354,
1,20,-11.464753287269907,4.439295388952447
2,30,-15.030353592082747,-3.5656003048128397
3,40,-14.872983714281977,0.15736987780076994
4,50,-14.611446049869729,0.26153766441224846
