,num,co_value,delta
0,10,-11.895124555885813,
1,20,-13.24539524688789,-1.350270691002077
2,30,-12.416582242601619,0.8288130042862711
3,40,-14.688119356643721,-2.2715371140421023
4,50,-13.893785641585117,0.7943337150586043
