,num,co_value,delta
0,10,-9.159618438687733,
1,20,-13.075423149790868,-3.915804711103135
2,30,-14.182437583379182,-1.1070144335883132
3,40,-13.751499836440615,0.43093774693856624
4,50,-14.384093026655801,-0.6325931902151858
